distance,offset,rz,dihedral,energy
4.18,0.72,4.117523527558768,83.44,-9.93837612939317
4.18,0.7,4.120970759420649,82.52,-9.928367488427924
4.36,1.03,4.236590610384724,88.7,-9.9253993898231
4.28,0.8,4.204568943423332,81.85,-9.917175348204626
4.58,0.76,4.516503072068035,89.89,-9.917093838464732
4.19,0.18,4.186131866054867,66.27,-9.91528935460375
4.29,0.99,4.174206511422261,88.84,-9.90065726815038
4.2,0.23,4.19369765243037,67.26,-9.895861382471129
4.25,0.84,4.166161302686203,83.89,-9.881227990824645
4.27,0.65,4.220236960171786,77.03,-9.880846748056822
4.35,0.93,4.2494234903101855,84.72,-9.87994644888119
4.36,0.18,4.356282819101625,69.29,-9.87009602816879
4.17,0.43,4.147770485453601,71.53,-9.865413411714565
4.14,0.31,4.128377405228354,68.68,-9.864917603909758
4.19,0.54,4.155057159654968,74.54,-9.863603041768284
4.36,1.09,4.221551847366085,89.91,-9.856158944261889
4.56,0.08,4.559298191608002,78.02,-9.848624750192505
4.48,0.92,4.384518217546827,86.9,-9.839637042083131
4.22,0.92,4.118494870702159,89.34,-9.838118576395962
4.3,0.99,4.184483241691858,87.85,-9.835186189345803
4.58,0.78,4.513092066421867,88.1,-9.833580290273158
4.19,0.55,4.153745297920902,74.52,-9.833296573121531
4.18,0.38,4.162691437039262,69.73,-9.831688169031198
4.26,0.98,4.145744806425016,89.64,-9.826299859153776
4.25,0.91,4.15143348736313,86.46,-9.82109655414937
4.39,0.76,4.32371368154738,80.5,-9.821019485297752
4.18,0.63,4.132251202431914,77.89,-9.820413837596758
4.28,0.8,4.204568943423332,80.94,-9.817975911139284
4.55,0.86,4.467986123523661,89.08,-9.814759171301928
4.29,0.9,4.194532155079992,83.94,-9.814188241823416
4.16,0.32,4.147674046981031,66.8,-9.809966737530484
4.61,0.52,4.580578566076561,87.27,-9.808522988771964
4.32,0.35,4.305798416089634,70.44,-9.807692030053907
4.2,0.76,4.130665805896188,82.28,-9.80711636412728
4.15,0.34,4.13604883917006,68.8,-9.805997010165248
4.6,0.26,4.592646295982306,82.73,-9.800786796280118
4.19,0.8,4.112918671697752,84.4,-9.799897900199817
4.18,0.42,4.15884599378241,70.5,-9.798340084033486
4.18,0.37,4.163592199051199,67.83,-9.795976382511316
4.61,0.44,4.588954129210707,86.35,-9.795658129766505
4.06,0.49,4.030322567735738,81.57,-9.776559033482826
4.11,0.13,4.107943524441397,63.89,-9.774009312424926
4.19,0.68,4.134452805390334,78.6,-9.76996430651027
4.19,0.62,4.143874998114688,76.25,-9.768459336022676
4.26,0.93,4.157246685006797,85.97,-9.768435463697804
4.18,0.5,4.14998795178974,72.57,-9.764293816278252
4.6,0.77,4.535096470859247,87.01,-9.757965855461933
4.22,0.92,4.118494870702159,87.84,-9.746199264189224
4.63,0.49,4.603998262380211,89.44,-9.723256354739908
4.24,0.76,4.171330722922843,79.46,-9.721543254407772
4.25,0.88,4.157896102598044,84.13,-9.717923498501907
4.51,1.01,4.395452195167183,87.7,-9.712867286097104
4.3,0.97,4.189164594522397,85.17,-9.708747922198846
4.23,0.57,4.191419807177516,73.39,-9.707021524313411
4.4,0.94,4.2984183137521645,83.86,-9.70231988491297
4.39,1.13,4.242074963976945,88.71,-9.7019271957467
4.28,0.76,4.211982905948219,78.41,-9.70164167641484
4.03,0.33,4.016466108409232,72.62,-9.698087040945587
4.63,0.7,4.576778342895797,89.19,-9.692314440459867
4.1,0.39,4.081409070406934,70.67,-9.690901927875055
4.62,0.68,4.569682702332844,85.89,-9.689290713790372
4.41,0.86,4.325332357172106,81.81,-9.686947879449328
4.4,1.07,4.267915181912593,86.26,-9.67983814726483
4.55,0.84,4.471789351031642,85.8,-9.679355913097462
4.26,0.66,4.208562700020043,75.33,-9.670584758502134
4.34,1.13,4.190310251043472,89.8,-9.66946107597598
4.53,0.8,4.458800287072746,83.89,-9.660391221849084
4.21,0.91,4.110474425172842,87.05,-9.655978747624935
4.53,0.35,4.5164587898042425,75.75,-9.651834699343471
4.65,0.37,4.635256195724245,86.9,-9.64792841004942
4.24,0.85,4.15392585393625,81.84,-9.64137978552536
4.61,0.69,4.558069766907918,84.24,-9.638811365937944
4.22,0.81,4.1415335324007705,81.4,-9.637438219526995
4.37,0.88,4.280478945164899,81.39,-9.632532355909486
4.64,0.71,4.585357128948627,87.52,-9.627962209213385
4.65,0.55,4.617358552246079,89.27,-9.627517943784698
4.24,0.99,4.122802444939607,88.47,-9.619975523085708
4.1,0.68,4.043216541319547,84.27,-9.613587114289295
4.47,0.91,4.3763912073762326,83.25,-9.611414854003216
4.23,0.82,4.14975902914856,80.9,-9.610918285005193
4.17,0.8,4.092541997341017,83.25,-9.60668646133635
4.24,0.79,4.165753233210053,79.49,-9.605068092392104
4.52,1.09,4.386604609490123,88.56,-9.604093306571954
4.31,1.02,4.187564924869822,85.52,-9.600736098121144
4.15,0.34,4.13604883917006,65.49,-9.599785698591804
4.66,0.6,4.621211962245402,89.8,-9.598061709094608
4.12,0.23,4.113575087439148,62.83,-9.596237404068956
4.65,0.66,4.602922984365478,89.67,-9.594868418681148
4.17,0.75,4.101999512432931,81.35,-9.594431087244711
4.22,0.79,4.14539503545802,80.21,-9.592190881475023
4.33,0.75,4.264551559073944,77.47,-9.585913438955284
4.66,0.53,4.629762412910624,88.82,-9.583044158675348
4.61,0.64,4.565358693465389,83.64,-9.58026281943327
4.65,0.51,4.621947641416982,87.96,-9.57909163067422
4.56,1.08,4.430259586073936,89.23,-9.57230256775548
4.65,0.77,4.585804182474433,89.33,-9.571641925734887
4.45,1.1,4.3119021324700775,86.97,-9.569550228869296
4.36,1.15,4.205603404982453,88.37,-9.566343209191126
4.21,0.86,4.121225545878313,83.31,-9.561188986703105
4.27,1.03,4.1439111959596815,87.11,-9.556603651812395
4.25,0.89,4.155767077207287,82.6,-9.555500286153922
4.24,0.81,4.16191061893453,79.63,-9.55392518647846
4.19,0.8,4.112918671697752,81.75,-9.546669132875122
4.23,0.8,4.153661035761104,79.57,-9.545395517007664
4.61,0.08,4.609305804565369,77.27,-9.544278612204431
4.55,0.65,4.50333209967908,81.27,-9.540876196723746
4.59,0.96,4.488485267882696,88.21,-9.538405080601102
4.22,0.53,4.186585721085859,70.9,-9.535755242303084
4.2,0.61,4.155466279492591,73.35,-9.534534604520603
4.24,0.96,4.129891039724898,85.61,-9.534382820024447
4.57,0.53,4.5391629184244975,78.53,-9.530370742030078
4.2,0.83,4.11717135907652,81.96,-9.5271601938254
4.24,0.65,4.189880666558417,73.93,-9.523762713081169
4.24,0.8,4.163844377495393,78.95,-9.51890600228519
4.33,1.14,4.177235928218563,88.58,-9.515190020284754
4.24,0.93,4.136749932011845,83.89,-9.515000122087908
4.53,1.08,4.39937495560449,87.3,-9.514925954259931
4.55,0.71,4.494263009660204,81.24,-9.513642185273431
4.65,0.28,4.641562237005985,82.43,-9.512708996451192
4.48,1.2,4.316294707269187,89.27,-9.511599675722051
4.61,0.47,4.585978630565127,80.51,-9.508976737471626
4.36,1.17,4.200083332506631,88.58,-9.506295558808455
4.59,0.63,4.546559138513432,80.76,-9.50166466418504
4.58,0.94,4.4824993028443405,86.28,-9.494049895387844
4.55,0.7,4.495831402532795,81.25,-9.493691122480277
4.26,0.96,4.150421665325102,84.11,-9.492647060265488
4.55,0.72,4.492671810849307,81.49,-9.477713229008296
4.37,1.1,4.229290720676459,85.36,-9.475704460006252
4.25,0.57,4.211603020228758,71.9,-9.47138123019392
4.21,1.0,4.089510973209388,89.72,-9.471371045079083
4.21,0.45,4.185881030320857,67.13,-9.4692824474898
4.51,1.09,4.3762998069145125,86.47,-9.46873129269823
4.62,0.76,4.557060456039617,83.89,-9.468225115294455
4.51,1.17,4.355594104137804,88.14,-9.467055927039643
4.27,0.63,4.22326887611954,73.36,-9.466364092184136
4.61,0.26,4.602662273076312,77.29,-9.46610274512437
4.54,0.9,4.449898875255482,83.45,-9.463704345461805
4.58,0.68,4.529238346565569,82.0,-9.459293986562937
4.68,0.3,4.670374717300529,89.57,-9.45467990168256
4.22,0.8,4.143476800948691,79.03,-9.453217662099684
4.17,0.54,4.13488814842675,71.2,-9.448752341519072
4.53,0.64,4.48456240897593,78.41,-9.444954729321877
4.48,1.24,4.304973867516504,89.56,-9.444815137971124
4.48,0.91,4.386604609490124,81.36,-9.439256782415269
4.19,0.87,4.098682715214731,83.52,-9.43888320658245
4.68,0.14,4.677905514223219,84.59,-9.427583201855676
4.3,1.06,4.167301285004481,85.57,-9.426322083468229
4.66,0.54,4.628606701805631,84.19,-9.426032069921762
4.62,1.01,4.508247996727776,89.08,-9.422788064171824
4.3,1.03,4.174817361274622,84.61,-9.422426757389712
4.66,0.69,4.608633203022346,85.52,-9.420960934099172
4.29,0.94,4.18574963417546,81.16,-9.418004926980869
4.32,1.0,4.202665820642893,82.58,-9.416156947276624
4.26,0.95,4.152721998882178,82.52,-9.41370805817433
4.46,0.43,4.439222904968842,72.44,-9.412801594974432
4.6,0.64,4.555260695064553,80.33,-9.408851492982416
4.68,0.66,4.633227816544315,86.67,-9.40308650107593
4.62,0.5,4.592864030210344,79.45,-9.401595436846522
4.36,1.23,4.182905688633202,89.51,-9.401289744324878
4.17,0.56,4.132227002476993,71.34,-9.400664234082262
4.39,1.22,4.217072444243756,88.21,-9.399918634194966
4.68,0.61,4.640075430421363,86.47,-9.398423587790722
4.62,0.68,4.569682702332844,81.64,-9.397020934619938
4.66,0.86,4.57995633166955,86.75,-9.391851612398382
4.69,0.79,4.622986047999713,88.95,-9.391192918804146
4.55,1.15,4.402272140611027,87.63,-9.385070570900972
4.66,0.43,4.640118532968743,82.17,-9.38097818423972
4.6,0.66,4.552405957293352,79.83,-9.38092449832352
4.59,0.67,4.540836927263519,79.43,-9.374279138197672
4.31,1.07,4.175068861707552,85.25,-9.370715543120395
4.23,0.85,4.1437181371324,79.79,-9.36922569876198
4.34,1.08,4.203474753106054,84.39,-9.367941947360682
4.6,0.67,4.550944956819407,79.84,-9.364756500162304
4.6,0.67,4.550944956819407,79.81,-9.362309966763975
4.64,0.53,4.609631221692252,80.9,-9.362104921143091
4.23,0.36,4.214653010628515,64.34,-9.362025201063338
4.21,0.67,4.1563445477967775,73.58,-9.361084177800784
4.6,0.55,4.567001204291499,78.52,-9.359634091163464
4.66,0.4,4.642800878779964,81.21,-9.359415732936633
4.21,0.87,4.119126120914483,81.38,-9.359276619739353
4.68,0.48,4.655319537904997,83.76,-9.357793250659748
4.6,0.78,4.53338725458128,82.91,-9.356594059906426
4.34,1.18,4.176505716505127,88.31,-9.351298357281175
4.54,0.92,4.445807013355393,82.29,-9.350752309796482
4.54,0.97,4.435166287750663,83.22,-9.350469719061008
4.55,0.95,4.449719092257397,83.34,-9.348647406371214
4.69,0.24,4.683855249684815,83.16,-9.34743658034793
4.58,0.76,4.516503072068035,81.77,-9.34734274509206
4.68,0.6,4.641379105395291,84.89,-9.345527121022066
4.26,0.9,4.163844377495393,79.86,-9.341475620994949
4.35,1.1,4.208622102303792,84.39,-9.339207386264633
4.25,0.97,4.137825515896,83.25,-9.337180384366452
4.57,1.24,4.3985565814253205,89.41,-9.33471768756159
4.68,0.55,4.647569257149375,83.49,-9.333237075114337
4.19,0.64,4.140833249480109,72.91,-9.333004676368247
4.28,1.11,4.133557789604495,88.04,-9.332969450493378
4.67,0.73,4.612591462507816,84.82,-9.332890276981749
4.44,1.28,4.251493855105521,89.65,-9.33206514592188
4.29,0.92,4.190190926437601,79.7,-9.3296672821265
4.36,1.17,4.200083332506631,86.58,-9.328986663385304
4.72,0.34,4.707738310484133,89.0,-9.325263584881071
4.41,1.04,4.285615475051396,82.56,-9.324768523787553
4.71,0.12,4.708471089430199,89.76,-9.319933490304866
4.59,0.75,4.5283109433871696,81.19,-9.319377340566245
4.67,0.42,4.651075144523038,81.78,-9.318836644512436
4.23,1.04,4.100158533520381,87.04,-9.31823023875716
4.69,0.23,4.684356946262742,82.2,-9.318154321397556
4.33,1.08,4.193149174546501,83.86,-9.316204750434984
4.27,0.73,4.207136793592525,74.07,-9.314934529368005
4.72,0.12,4.718474329695988,88.9,-9.313634204179296
4.67,0.77,4.60608293455513,84.63,-9.312311734831145
4.12,0.34,4.105946906622149,63.47,-9.31155390730576
4.5,1.18,4.3425338225510695,86.44,-9.307518229931718
4.25,1.08,4.110486589200845,88.21,-9.306937550830778
4.69,0.54,4.658808860642385,85.08,-9.304903679573997
4.13,0.67,4.075291400624009,77.02,-9.303391689807691
4.7,0.57,4.66530813558976,87.28,-9.303143994858893
4.24,0.56,4.202856171700383,68.4,-9.300797650218602
4.12,0.29,4.1097810160639945,61.95,-9.2994506835396
4.62,0.71,4.565117742183656,80.42,-9.2991029233929
4.71,0.71,4.656178690729126,89.76,-9.297875767706213
4.64,0.47,4.6161347467334615,78.85,-9.29725656958881
4.14,0.39,4.121589499210225,64.43,-9.29555526204441
4.2,0.81,4.1211527513548925,78.7,-9.294007023536476
4.13,0.39,4.111544721877654,65.76,-9.291799028474696
4.71,0.56,4.676590638488684,88.45,-9.291523079274905
4.63,0.78,4.563825150024922,81.87,-9.291471786016563
4.71,0.65,4.664933011308952,89.45,-9.29109636841005
4.71,0.48,4.6854775637068204,88.18,-9.290418038812998
4.22,0.98,4.1046315303568965,84.71,-9.289470286730795
4.19,0.76,4.120497542773203,76.99,-9.289356746415406
4.57,0.96,4.468030886195842,83.64,-9.28925943916964
4.72,0.43,4.700372325678042,89.5,-9.288794181037852
4.49,0.94,4.390501110351756,80.78,-9.287351916962807
4.46,0.92,4.364080659199598,79.89,-9.285532675298857
4.1,0.39,4.081409070406934,66.46,-9.283214871052577
4.25,0.93,4.146998914878084,80.97,-9.281432835079258
4.5,0.6,4.459820624195552,75.13,-9.2806511954396
4.2,0.51,4.168920723640592,68.2,-9.274996743092142
4.66,0.74,4.600869483043396,83.27,-9.272840844465264
4.17,0.71,4.109111826173632,75.62,-9.270425636343766
4.13,0.3,4.119089705262559,61.88,-9.270079842208624
4.63,0.68,4.579792571721999,80.57,-9.268945547243604
4.21,0.88,4.117001335924,80.59,-9.265462523148813
4.69,0.3,4.680395282452114,81.92,-9.264594259578118
4.18,0.65,4.129152455407768,72.88,-9.264179266237749
4.62,0.54,4.588333030633239,78.32,-9.26157918247487
4.25,0.95,4.142463035441596,81.9,-9.260612362930564
4.26,0.79,4.186107977584907,75.57,-9.257343146989117
4.17,0.59,4.12805038728938,70.93,-9.255406683424216
4.47,1.15,4.319537012227121,84.89,-9.254339348743336
4.69,0.36,4.6761629569552,82.7,-9.253518555022358
4.72,0.27,4.712271214605543,87.19,-9.251640039449304
4.24,0.68,4.185116485834056,72.29,-9.250519640041531
4.66,0.59,4.622499323958848,81.91,-9.248673200237592
4.24,0.9,4.143380262539272,79.68,-9.246014082944292
4.55,0.25,4.5431266766402185,71.34,-9.24543524872032
4.45,1.0,4.336184959154764,81.01,-9.242363852022272
4.26,1.08,4.120825160086266,86.61,-9.240859216652312
4.71,0.72,4.654642843441375,88.12,-9.24083014977227
4.69,0.62,4.648838564630956,84.2,-9.239692727922527
4.17,0.63,4.122135368956241,72.29,-9.239581104037692
4.42,0.94,4.318888745962322,79.28,-9.23804604637152
4.68,0.46,4.657338295636253,81.96,-9.237245861332736
4.21,0.88,4.117001335924,80.28,-9.236866570736597
4.67,0.77,4.60608293455513,84.12,-9.23407241273675
4.18,0.6,4.136713671503021,71.03,-9.230712629605163
4.7,1.03,4.585749666085143,88.9,-9.229147908945494
4.61,0.87,4.527162466711351,83.41,-9.229045495641293
4.52,0.59,4.481327928192713,75.53,-9.227245238649877
4.7,0.3,4.69041575982343,82.29,-9.225420222654062
4.68,0.68,4.63033476111609,83.42,-9.22453503705184
4.72,0.44,4.699446775951399,86.39,-9.22031063619399
4.48,0.91,4.386604609490124,79.21,-9.219937327634872
4.17,0.81,4.090574531774235,79.56,-9.217414860575843
4.22,1.0,4.099804873405562,85.27,-9.217187121694844
4.65,1.08,4.52284202686762,88.35,-9.214575111489545
4.61,1.05,4.488830582679636,85.91,-9.212713784651
4.62,0.91,4.529492245274298,84.17,-9.210403908406882
4.68,0.9,4.592646295982306,85.55,-9.209973495232328
4.21,0.72,4.147975409763178,73.88,-9.209158613920952
4.71,0.37,4.69544460088712,84.5,-9.208811278601392
4.04,0.45,4.014859897929192,71.08,-9.20722760968804
4.62,0.71,4.565117742183656,79.32,-9.207172475435875
4.65,0.95,4.551922670696417,84.89,-9.206889407153312
4.3,1.1,4.156921938165305,84.82,-9.204546287917692
4.48,0.94,4.38027396403467,79.78,-9.203356808548788
4.23,1.08,4.089804396300636,88.64,-9.202743581767471
4.23,0.94,4.124233262074298,81.85,-9.200652546291042
4.37,1.14,4.218684629123159,84.74,-9.196570543675024
4.25,0.96,4.140157001853915,81.52,-9.195140617065334
4.21,0.77,4.138985382916929,75.6,-9.193593140357004
4.72,0.34,4.707738310484133,85.11,-9.193564399177772
4.31,1.07,4.175068861707552,83.36,-9.190066065076062
4.73,0.36,4.71628031397626,88.82,-9.185032849659596
4.31,0.54,4.276037885706813,68.06,-9.183056339055971
4.71,0.84,4.63449026323284,87.67,-9.180582330149404
4.62,0.78,4.553679830642467,80.5,-9.180014504334586
4.69,0.34,4.677659671245868,80.78,-9.178902021621656
4.03,0.59,3.986577479492905,82.54,-9.177647940740178
4.31,1.11,4.164612827142518,84.38,-9.17626089688148
4.27,0.93,4.167493251344266,79.49,-9.174724631864413
4.68,0.52,4.651021393199563,80.96,-9.174576727277817
4.66,0.47,4.636237698824339,78.52,-9.17377682520744
4.11,0.35,4.095070206968375,63.92,-9.173040758462646
4.68,0.39,4.663721689809544,80.48,-9.172641035535731
4.35,0.84,4.268126052496575,75.39,-9.170446825561882
4.11,0.67,4.055021578240985,76.12,-9.16148206168524
4.22,0.71,4.159843747065507,72.86,-9.159237808500675
4.73,0.98,4.627364260569942,89.53,-9.158792921204952
4.67,0.6,4.631295715024036,80.69,-9.15809230245078
4.24,0.98,4.125190904673383,82.74,-9.15648792316068
4.28,1.07,4.144092180441936,84.31,-9.156176059124112
4.48,1.17,4.32452309509384,84.43,-9.154806023261123
4.13,0.3,4.119089705262559,60.83,-9.154292359696822
4.64,0.55,4.607287705364188,78.36,-9.153627488880495
4.27,1.17,4.106580085667392,89.97,-9.15135031212736
4.44,1.07,4.309141445810291,81.72,-9.150289354205343
4.67,0.32,4.659023502838336,78.15,-9.150085597476483
4.71,1.08,4.584506516518435,89.85,-9.150016116515626
4.64,0.45,4.618127326092255,77.2,-9.14999495184849
4.22,0.72,4.158124577258358,73.06,-9.149466637169542
4.71,0.19,4.706166167912051,82.07,-9.14813263920409
4.22,0.89,4.125081817370414,79.76,-9.146159550402972
4.54,1.18,4.383970802822482,85.47,-9.144257343850231
4.72,0.39,4.703860116967765,83.12,-9.141229729102797
4.32,1.08,4.18282201390401,82.78,-9.140557651991076
4.47,1.06,4.342499280368392,81.56,-9.13895986533338
